Input,Output,Hidden,Target_p,H,p,FtBin,Parse,Iamb,FootNonfin,Nonfin_ft,WordFootRight,WordFootLeft,AllFeetRight,AllFeetLeft,MainRight,MainLeft,WSP_ft
[L L L],[L2 L1 L],[(L2) (L1) L],0.0,-38.64,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-26.04,-0.0,-7.16,-0.0,0.0
[L L L],[L2 L1 L2],[(L2) (L1) (L2)],0.0,-36.48,-0.73,-3.27,0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-7.16,-0.0,0.0
[L L L],[L1 L2 L],[(L1) (L2 L)],0.0,-36.16,-0.73,-1.09,0.0,-3.39,-0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L],[L1 L L],[(L1) L L],0.0,-36.03,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-17.36,0.0,-14.33,0.0,0.0
[L L L],[L1 L L2],[(L1) L (L2)],0.0,-33.87,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L],[L1 L L2],[(L1) (L L2)],0.0,-32.78,-0.73,-1.09,0.0,0.0,-0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L],[L2 L2 L1],[(L2) (L2) (L1)],0.0,-29.31,-0.73,-3.27,0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,0.0,-0.0,0.0
[L L L],[L1 L L],[(L1 L) L],0.0,-22.49,-0.73,0.0,-0.0,-3.39,0.0,0.0,-3.26,0.0,-8.68,0.0,-7.16,0.0,0.0
[L L L],[L1 L L2],[(L1 L) (L2)],0.0,-20.32,-0.73,-1.09,0.0,-3.39,-0.0,-0.0,0.0,0.0,-8.68,-0.0,-7.16,0.0,0.0
[L L L],[L L1 L],[L (L1) L],0.0,-20.19,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-8.68,-0.0,-7.16,-0.0,0.0
[L L L],[L2 L L1],[(L2) L (L1)],0.0,-19.54,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L],[L L1 L],[(L L1) L],0.0,-19.1,-0.73,0.0,-0.0,0.0,-0.0,0.0,-3.26,0.0,-8.68,0.0,-7.16,0.0,0.0
[L L L],[L2 L L1],[(L2) (L L1)],0.0,-18.45,-0.73,-1.09,0.0,0.0,-0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L],[L L1 L2],[L (L1) (L2)],0.0,-18.03,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.68,-0.0,-7.16,-0.0,0.0
[L L L],[L L1 L2],[(L L1) (L2)],0.0,-16.93,-0.73,-1.09,0.0,0.0,-0.0,-0.0,0.0,0.0,-8.68,-0.0,-7.16,0.0,0.0
[L L L],[L2 L L1],[(L2 L) (L1)],0.0,-13.16,-0.73,-1.09,0.0,-3.39,-0.0,-0.0,0.0,0.0,-8.68,-0.0,0.0,-0.0,0.0
[L L L],[L L2 L1],[L (L2) (L1)],0.0,-10.86,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.68,-0.0,0.0,-0.0,0.0
[L L L],[L L2 L1],[(L L2) (L1)],0.0,-9.77,-0.73,-1.09,0.0,0.0,-0.0,-0.0,0.0,0.0,-8.68,-0.0,0.0,-0.0,0.0
[L L L],[L1 L2 L],[(L1) (L2) L],0.0,-45.8,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-26.04,-0.0,-14.33,0.0,0.0
[L L L L],[L L L L1],[L L (L L1)],1.0,0.0,0.73,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L L],[L L L L1],[L L L (L1)],1.0,-1.09,-0.48,-1.09,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L L],[L L L1 L],[L L (L1 L)],0.0,-3.39,-0.71,0.0,-0.0,-3.39,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L L],[L1 L L2 L2],[(L1 L) (L2) (L2)],0.0,-45.93,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-14.33,0.0,0.0
[L L L L],[L2 L1 L L],[(L2) (L1 L) L],0.0,-49.61,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-34.72,-0.0,-7.16,-0.0,0.0
[L L L L],[L2 L2 L1 L],[(L2) (L2) (L1 L)],0.0,-48.96,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-43.39,-0.0,0.0,-0.0,0.0
[L L L L],[L1 L L L2],[(L1) L (L L2)],0.0,-48.62,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-21.49,0.0,0.0
[L L L L],[L1 L L2 L],[(L1 L) (L2) L],0.0,-48.1,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-26.04,-0.0,-14.33,0.0,0.0
[L L L L],[L2 L1 L L2],[(L2) (L1 L) (L2)],0.0,-47.45,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-34.72,-0.0,-7.16,-0.0,0.0
[L L L L],[L2 L L1 L],[(L2) L (L1) L],0.0,-47.32,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-34.72,-0.0,-7.16,-0.0,0.0
[L L L L],[L2 L2 L L1],[(L2) (L2) L (L1)],0.0,-46.67,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-43.39,-0.0,0.0,-0.0,0.0
[L L L L],[L2 L L1 L],[(L2) (L L1) L],0.0,-46.23,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-34.72,-0.0,-7.16,-0.0,0.0
[L L L L],[L L1 L2 L],[L (L1) (L2) L],0.0,-45.8,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-26.04,-0.0,-14.33,-0.0,0.0
[L L L L],[L1 L L L],[(L1) L L L],0.0,-51.88,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-26.04,0.0,-21.49,0.0,0.0
[L L L L],[L2 L2 L L1],[(L2) (L2) (L L1)],0.0,-45.58,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-43.39,-0.0,0.0,-0.0,0.0
[L L L L],[L2 L L1 L2],[(L2) L (L1) (L2)],0.0,-45.15,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-34.72,-0.0,-7.16,-0.0,0.0
[L L L L],[L L1 L2 L],[(L L1) (L2) L],0.0,-44.71,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-26.04,-0.0,-14.33,0.0,0.0
[L L L L],[L2 L L1 L2],[(L2) (L L1) (L2)],0.0,-44.06,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-34.72,-0.0,-7.16,-0.0,0.0
[L L L L],[L L1 L2 L2],[L (L1) (L2) (L2)],0.0,-43.64,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-26.04,-0.0,-14.33,-0.0,0.0
[L L L L],[L L1 L2 L2],[(L L1) (L2) (L2)],0.0,-42.55,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-14.33,0.0,0.0
[L L L L],[L2 L L1 L],[(L2 L) (L1) L],0.0,-40.93,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-26.04,-0.0,-7.16,-0.0,0.0
[L L L L],[L2 L2 L L1],[(L2) (L2 L) (L1)],0.0,-40.28,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-34.72,-0.0,0.0,-0.0,0.0
[L L L L],[L1 L L L2],[(L1) L L (L2)],0.0,-49.71,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-21.49,0.0,0.0
[L L L L],[L1 L L2 L],[(L1) L (L2 L)],0.0,-52.01,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-21.49,0.0,0.0
[L L L L],[L1 L2 L2 L2],[(L1) (L2) (L2) (L2)],0.0,-77.93,-0.73,-4.37,0.0,0.0,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-21.49,0.0,0.0
[L L L L],[L2 L2 L1 L2],[(L2) (L2) (L1) (L2)],0.0,-63.6,-0.73,-4.37,0.0,0.0,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-7.16,-0.0,0.0
[L L L L],[L2 L1 L2 L],[(L2) (L1) (L2) L],0.0,-72.93,-0.73,-3.27,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L],[L2 L1 L2 L2],[(L2) (L1) (L2) (L2)],0.0,-70.77,-0.73,-4.37,0.0,0.0,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L],[L1 L2 L2 L],[(L1) (L2) (L2 L)],0.0,-70.46,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-21.49,0.0,0.0
[L L L L],[L1 L2 L L],[(L1) (L2) L L],0.0,-70.33,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-43.39,-0.0,-21.49,0.0,0.0
[L L L L],[L1 L2 L L2],[(L1) (L2) L (L2)],0.0,-68.16,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-21.49,0.0,0.0
[L L L L],[L1 L2 L L2],[(L1) (L2) (L L2)],0.0,-67.07,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-21.49,0.0,0.0
[L L L L],[L2 L2 L1 L],[(L2) (L2) (L1) L],0.0,-65.77,-0.73,-3.27,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-7.16,-0.0,0.0
[L L L L],[L1 L2 L L],[(L1) (L2 L) L],0.0,-63.94,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-34.72,-0.0,-21.49,0.0,0.0
[L L L L],[L2 L1 L2 L],[(L2) (L1) (L2 L)],0.0,-63.29,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-14.33,-0.0,0.0
[L L L L],[L2 L L1 L2],[(L2 L) (L1) (L2)],0.0,-38.77,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-7.16,-0.0,0.0
[L L L L],[L2 L1 L L],[(L2) (L1) L L],0.0,-63.16,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-43.39,-0.0,-14.33,-0.0,0.0
[L L L L],[L1 L2 L L2],[(L1) (L2 L) (L2)],0.0,-61.78,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-34.72,-0.0,-21.49,0.0,0.0
[L L L L],[L1 L L2 L],[(L1) L (L2) L],0.0,-61.65,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-34.72,-0.0,-21.49,0.0,0.0
[L L L L],[L2 L1 L L2],[(L2) (L1) L (L2)],0.0,-61.0,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-14.33,-0.0,0.0
[L L L L],[L1 L L2 L],[(L1) (L L2) L],0.0,-60.56,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-34.72,-0.0,-21.49,0.0,0.0
[L L L L],[L2 L1 L L2],[(L2) (L1) (L L2)],0.0,-59.91,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-14.33,-0.0,0.0
[L L L L],[L1 L L2 L2],[(L1) L (L2) (L2)],0.0,-59.48,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-34.72,-0.0,-21.49,0.0,0.0
[L L L L],[L1 L L2 L2],[(L1) (L L2) (L2)],0.0,-58.39,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-34.72,-0.0,-21.49,0.0,0.0
[L L L L],[L2 L2 L2 L1],[(L2) (L2) (L2) (L1)],0.0,-56.44,-0.73,-4.37,0.0,0.0,-0.0,-0.0,0.0,0.0,-52.07,-0.0,0.0,-0.0,0.0
[L L L L],[L L2 L1 L],[L (L2) (L1) L],0.0,-38.64,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-26.04,-0.0,-7.16,-0.0,0.0
[L L L L],[L1 L L2 L],[(L1 L) (L2 L)],0.0,-38.46,-0.73,0.0,0.0,-6.77,0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L L],[L L2 L L1],[L (L2) L (L1)],0.0,-19.54,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L2 L L1 L],[(L2 L) (L1 L)],0.0,-24.13,-0.73,0.0,0.0,-6.77,0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L L1 L L],[L (L1 L) L],0.0,-22.49,-0.73,0.0,-0.0,-3.39,0.0,0.0,-3.26,-0.0,-8.68,-0.0,-7.16,-0.0,0.0
[L L L L],[L2 L L L1],[(L2 L) L (L1)],0.0,-21.84,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L L2 L1 L],[L (L2) (L1 L)],0.0,-21.84,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L2 L L L1],[(L2 L) (L L1)],0.0,-20.74,-0.73,0.0,0.0,-3.39,-0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L L2 L1 L],[(L L2) (L1 L)],0.0,-20.74,-0.73,0.0,0.0,-3.39,-0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L L1 L L2],[L (L1 L) (L2)],0.0,-20.32,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-8.68,-0.0,-7.16,-0.0,0.0
[L L L L],[L L L1 L],[L L (L1) L],0.0,-20.19,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-8.68,-0.0,-7.16,-0.0,0.0
[L L L L],[L L L1 L],[L (L L1) L],0.0,-19.1,-0.73,0.0,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-8.68,-0.0,-7.16,-0.0,0.0
[L L L L],[L1 L L L],[(L1 L) L L],0.0,-38.33,-0.73,0.0,-0.0,-3.39,0.0,0.0,-3.26,0.0,-17.36,0.0,-14.33,0.0,0.0
[L L L L],[L L2 L L1],[(L L2) L (L1)],0.0,-18.45,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L L2 L L1],[L (L2) (L L1)],0.0,-18.45,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L L L1 L2],[L L (L1) (L2)],0.0,-18.03,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.68,-0.0,-7.16,-0.0,0.0
[L L L L],[L L2 L L1],[(L L2) (L L1)],0.0,-17.36,-0.73,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L L],[L L L1 L2],[L (L L1) (L2)],0.0,-16.93,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.68,-0.0,-7.16,-0.0,0.0
[L L L L],[L L2 L L1],[L (L2 L) (L1)],0.0,-13.16,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-8.68,-0.0,0.0,-0.0,0.0
[L L L L],[L L L2 L1],[L L (L2) (L1)],0.0,-10.86,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.68,-0.0,0.0,-0.0,0.0
[L L L L],[L L L2 L1],[L (L L2) (L1)],0.0,-9.77,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.68,-0.0,0.0,-0.0,0.0
[L L L L],[L2 L L L1],[(L2) L (L L1)],0.0,-27.13,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,0.0,-0.0,0.0
[L L L L],[L L2 L2 L1],[(L L2) (L2) (L1)],0.0,-28.22,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,0.0,-0.0,0.0
[L L L L],[L2 L L L1],[(L2) L L (L1)],0.0,-28.22,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,0.0,-0.0,0.0
[L L L L],[L L2 L2 L1],[L (L2) (L2) (L1)],0.0,-29.31,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-26.04,-0.0,0.0,-0.0,0.0
[L L L L],[L2 L L2 L1],[(L2) L (L2) (L1)],0.0,-37.99,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-34.72,-0.0,0.0,-0.0,0.0
[L L L L],[L L2 L1 L],[(L L2) (L1) L],0.0,-37.55,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-26.04,-0.0,-7.16,-0.0,0.0
[L L L L],[L2 L L2 L1],[(L2) (L L2) (L1)],0.0,-36.9,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-34.72,-0.0,0.0,-0.0,0.0
[L L L L],[L L2 L1 L2],[L (L2) (L1) (L2)],0.0,-36.48,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-26.04,-0.0,-7.16,-0.0,0.0
[L L L L],[L1 L L L2],[(L1 L) L (L2)],0.0,-36.16,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L L],[L L1 L2 L],[L (L1) (L2 L)],0.0,-36.16,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-17.36,-0.0,-14.33,-0.0,0.0
[L L L L],[L L1 L L],[L (L1) L L],0.0,-36.03,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-17.36,-0.0,-14.33,-0.0,0.0
[L L L L],[L L2 L1 L2],[(L L2) (L1) (L2)],0.0,-35.38,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-7.16,-0.0,0.0
[L L L L],[L1 L L L2],[(L1 L) (L L2)],0.0,-35.07,-0.73,0.0,0.0,-3.39,-0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L L],[L L1 L2 L],[(L L1) (L2 L)],0.0,-35.07,-0.73,0.0,0.0,-3.39,-0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L L],[L L1 L L],[(L L1) L L],0.0,-34.94,-0.73,0.0,-0.0,0.0,-0.0,0.0,-3.26,0.0,-17.36,0.0,-14.33,0.0,0.0
[L L L L],[L L1 L L2],[L (L1) L (L2)],0.0,-33.87,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-17.36,-0.0,-14.33,-0.0,0.0
[L L L L],[L L1 L L2],[(L L1) L (L2)],0.0,-32.78,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L L],[L L1 L L2],[L (L1) (L L2)],0.0,-32.78,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-17.36,-0.0,-14.33,-0.0,0.0
[L L L L],[L L1 L L2],[(L L1) (L L2)],0.0,-31.69,-0.73,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-17.36,-0.0,-14.33,0.0,0.0
[L L L L],[L2 L L2 L1],[(L2 L) (L2) (L1)],0.0,-31.61,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-26.04,-0.0,0.0,-0.0,0.0
[L L L L],[L2 L L1 L],[(L2) L (L1 L)],0.0,-30.51,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-26.04,-0.0,0.0,-0.0,0.0
[L L L L],[L1 L2 L2 L],[(L1) (L2) (L2) L],0.0,-80.1,-0.73,-3.27,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-21.49,0.0,0.0
[L L L L L],[L L L L L1],[L L L (L L1)],1.0,0.0,0.73,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L L L],[L L L L L1],[L L L L (L1)],1.0,-1.09,-0.48,-1.09,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L L L],[L L L L1 L],[L L L (L1 L)],0.0,-3.39,-0.71,0.0,-0.0,-3.39,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L L L],[L2 L L2 L1 L],[(L2) (L L2) (L1) L],0.0,-73.36,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-7.16,-0.0,0.0
[L L L L L],[L L2 L1 L2 L],[L (L2) (L1) (L2) L],0.0,-72.93,-0.73,-3.27,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L1 L L2 L2 L],[(L1 L) (L2) (L2 L)],0.0,-72.75,-0.73,-1.09,0.0,-6.77,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-21.49,0.0,0.0
[L L L L L],[L2 L2 L L2 L1],[(L2) (L2) (L L2) (L1)],0.0,-72.71,-0.73,-3.27,0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L],[L1 L L2 L L],[(L1 L) (L2) L L],0.0,-72.62,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-43.39,-0.0,-21.49,0.0,0.0
[L L L L L],[L2 L L2 L1 L2],[(L2) L (L2) (L1) (L2)],0.0,-72.28,-0.73,-4.37,-0.0,0.0,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-7.16,-0.0,0.0
[L L L L L],[L2 L1 L L L2],[(L2) (L1 L) L (L2)],0.0,-71.97,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L2 L L1 L2 L],[(L2) L (L1) (L2 L)],0.0,-71.97,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L L2 L1 L2 L],[(L L2) (L1) (L2) L],0.0,-71.84,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L2 L L1 L L],[(L2) L (L1) L L],0.0,-71.84,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L2 L L2 L1 L2],[(L2) (L L2) (L1) (L2)],0.0,-71.19,-0.73,-3.27,0.0,0.0,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-7.16,-0.0,0.0
[L L L L L],[L2 L L1 L2 L],[(L2) (L L1) (L2 L)],0.0,-70.88,-0.73,-1.09,0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L2 L1 L L L2],[(L2) (L1 L) (L L2)],0.0,-70.88,-0.73,-1.09,0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L L2 L1 L2 L2],[L (L2) (L1) (L2) (L2)],0.0,-70.77,-0.73,-4.37,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L2 L L1 L L],[(L2) (L L1) L L],0.0,-70.75,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L L1 L2 L2 L],[L (L1) (L2) (L2 L)],0.0,-70.46,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-43.39,-0.0,-21.49,-0.0,0.0
[L L L L L],[L2 L L1 L2 L2],[(L2 L) (L1) (L2) (L2)],0.0,-73.06,-0.73,-3.27,0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L],[L2 L2 L L2 L1],[(L2) (L2) L (L2) (L1)],0.0,-73.8,-0.73,-4.37,-0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L],[L1 L L2 L L],[(L1) L (L2 L) L],0.0,-79.78,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-43.39,-0.0,-28.66,0.0,0.0
